categoria,valor,percentual
Publicidade por materiais impressos,618052189.1,17.2453
Serviços prestados por terceiros,584300373.83,16.3035
Atividades de militância e mobilização de rua,446581970.94,12.4608
Despesas com pessoal,393091513.48,10.9683
Despesa com Impulsionamento de Conteúdos,222055473.27,6.1959
Serviços advocatícios,218296211.9,6.091
"Produção de programas de rádio, televisão ou vídeo",195772773.99,5.4626
Publicidade por adesivos,192151490.79,5.3615
Cessão ou locação de veículos,145688416.56,4.0651
Serviços contábeis,125137452.38,3.4917
Diversas a especificar,77701863.59,2.1681
Locação/cessão de bens imóveis,65942242.24,1.84
Doações financeiras a outros candidatos/partidos,44875737.05,1.2522
Despesas com transporte ou deslocamento,39861520.61,1.1122
Eventos de promoção da candidatura,30875091.63,0.8615
Combustíveis e lubrificantes,28322463.34,0.7903
Publicidade por carros de som,26046831.55,0.7268
"Produção de jingles, vinhetas e slogans",20623067.41,0.5754
Serviços próprios prestados por terceiros,18521450.7,0.5168
Locação/cessão de bens móveis (exceto veículos),18452078.08,0.5149
Pesquisas ou testes eleitorais,17780480.75,0.4961
Criação e inclusão de páginas na internet,10547819.54,0.2943
Correspondências e despesas postais,9334119.31,0.2604
Alimentação,7986703.63,0.2229
Publicidade por jornais e revistas,7067050.61,0.1972
Pré-instalação física de comitê de campanha,5043323.63,0.1407
Comícios,3755349.37,0.1048
Materiais de expediente,3163645.11,0.0883
Água,1591752.26,0.0444
"Segurança e prevenção, repressão e combate à violência política",1531891.96,0.0427
Passagem Aérea,1012582.89,0.0283
Despesas com Hospedagem,985515.1,0.0275
Aquisição/Doação de bens móveis ou imóveis,728419.08,0.0203
"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",286645.6,0.008
Taxa de Administração de Financiamento Coletivo,251432.94,0.007
Reembolsos de gastos realizados por eleitores,182106.61,0.0051
"Impostos, contribuições e taxas",105178.77,0.0029
Despesa com geradores de energia,103223.75,0.0029
Telefone,40431.61,0.0011
Energia elétrica,27427.84,0.0008
Encargos sociais,11073.65,0.0003
